 0.200000000000000E+00  0.100000000000000E+03  0.500000000000000E-01  0.735466180707294E-12 -0.744729669275180E+00  0.999320615759112E-17
 0.400000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.171352712475401E-11 -0.744702026410390E+00  0.480661847145400E-16
 0.600000000000000E+00  0.100000000000000E+03  0.500000000000000E-01  0.281847918819885E-11 -0.744616151316013E+00  0.426104154719969E-16
 0.800000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.178086570440124E-11 -0.744535458286198E+00  0.253945944455576E-16
 0.100000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.165656612904262E-11 -0.744466251555395E+00  0.239438973032608E-16
 0.120000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.119037550354822E-11 -0.744407706436521E+00  0.164957399305402E-16
 0.140000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.386459511992150E-12 -0.744358020313445E+00  0.552170206962618E-17
 0.160000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.317566066700570E-11 -0.744315522373915E+00  0.487119583740275E-16
 0.180000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.310966111443885E-12 -0.744278851034581E+00  0.868511551082234E-17
 0.200000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.904036525326609E-12 -0.744246932946419E+00  0.127912808314294E-16
 0.220000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.537522267101467E-11 -0.744218926849511E+00  0.718359261476895E-16
 0.240000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.564176501929401E-11 -0.744194170736332E+00  0.795014306551399E-16
 0.260000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.557663190605322E-11 -0.744172139539454E+00  0.811460064253356E-16
 0.280000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.733751597825240E-12 -0.744152412988082E+00  0.139245054176154E-16
 0.300000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.936744129372027E-12 -0.744134651505608E+00  0.137376653236020E-16
 0.320000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.206029812900627E-11 -0.744118578157842E+00  0.290941466583176E-16
 0.340000000000000E+01  0.100000000000000E+03  0.500000000000000E-01  0.264183025940168E-11 -0.744103965115843E+00  0.404317795966814E-16
 0.360000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.197225687356424E-12 -0.744090623384160E+00  0.466917821667234E-17
 0.380000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.264623718483415E-11 -0.744078394969663E+00  0.374135263122029E-16
 0.400000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.180906894717342E-11 -0.744067146831991E+00  0.264209967477732E-16
