 0.200000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.235869164644190E-08 -0.416276401091106E+00  0.599631842349689E-16
 0.300000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.135123865400391E-09 -0.435968799472164E+00  0.533783345825501E-16
 0.400000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.320231463669260E-09 -0.431133746303848E+00  0.170724839871125E-15
 0.500000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.161700614743806E-09 -0.418925568522687E+00  0.170828965236264E-15
 0.600000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.129930306016994E-09 -0.404864639225636E+00  0.228773874351397E-15
 0.700000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.331453950047502E-10 -0.390983864019571E+00  0.101070103121746E-15
 0.800000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.264118912738885E-10 -0.378027008379895E+00  0.105256197521278E-15
 0.900000000000000E+00  0.100000000000000E+03  0.500000000000000E-01 -0.153062335152027E-10 -0.366217739889164E+00  0.441121751848861E-16
 0.100000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.181029198006174E-11 -0.355564601292827E+00  0.239952254629943E-16
 0.110000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.221876767884322E-10 -0.345990448724410E+00  0.886083910911104E-16
 0.120000000000000E+01  0.100000000000000E+03  0.500000000000000E-01 -0.390611591531171E-11 -0.337389249294110E+00  0.256996999862777E-16
