 0.100000000000000E+01  0.200000000000000E+00
 0.200000000000000E+01  0.300000000000000E+00
 0.300000000000000E+01  0.400000000000000E+00
 0.400000000000000E+01  0.500000000000000E+00
 0.500000000000000E+01  0.600000000000000E+00
 0.600000000000000E+01  0.700000000000000E+00
 0.700000000000000E+01  0.800000000000000E+00
 0.800000000000000E+01  0.900000000000000E+00
 0.900000000000000E+01  0.100000000000000E+01
 0.100000000000000E+02  0.110000000000000E+01
 0.110000000000000E+02  0.120000000000000E+01
