 0.000000000000000E+00  0.100000000000000E+01  0.100000000000000E-01  0.100000000000000E+01  0.100000000000000E-03  0.000000000000000E+00  0.000000000000000E+00
 0.247363193267258E-01  0.998166494233006E+00  0.100183687368549E-01  0.100000000000000E+01  0.100000000000000E-03 -0.148342290201167E+00  0.000000000000000E+00
 0.494688545599899E-01  0.992692797434991E+00  0.100736099081598E-01  0.100000000000000E+01  0.100000000000000E-03 -0.296209533162434E+00  0.000000000000000E+00
 0.741938221852102E-01  0.983658542917738E+00  0.101661293667393E-01  0.100000000000000E+01  0.100000000000000E-03 -0.443133697190086E+00  0.000000000000000E+00
 0.989074398454781E-01  0.971193735822241E+00  0.102966067748920E-01  0.100000000000000E+01  0.100000000000000E-03 -0.588660563520739E+00  0.000000000000000E+00
 0.123605926920168E+00  0.955474826707000E+00  0.104660004852923E-01  0.100000000000000E+01  0.100000000000000E-03 -0.732356098888031E+00  0.000000000000000E+00
 0.148285505103292E+00  0.936719500730759E+00  0.106755544132462E-01  0.100000000000000E+01  0.100000000000000E-03 -0.873812218711931E+00  0.000000000000000E+00
 0.172942398981491E+00  0.915180441608487E+00  0.109268069392134E-01  0.100000000000000E+01  0.100000000000000E-03 -0.101265178730147E+01  0.000000000000000E+00
 0.197572836611588E+00  0.891138368362531E+00  0.112216018914942E-01  0.100000000000000E+01  0.100000000000000E-03 -0.114853273891061E+01  0.000000000000000E+00
 0.222173050097609E+00  0.864894660635851E+00  0.115621016698707E-01  0.100000000000000E+01  0.100000000000000E-03 -0.128115124470009E+01  0.000000000000000E+00
 0.246739276167186E+00  0.836763885237128E+00  0.119508025817416E-01  0.100000000000000E+01  0.100000000000000E-03 -0.141024389280325E+01  0.000000000000000E+00
 0.271267756747251E+00  0.807066514742011E+00  0.123905524728611E-01  0.100000000000000E+01  0.100000000000000E-03 -0.153558888910119E+01  0.000000000000000E+00
 0.295754739538938E+00  0.776122091903653E+00  0.128845707451417E-01  0.100000000000000E+01  0.100000000000000E-03 -0.165700632269701E+01  0.000000000000000E+00
 0.320196478591595E+00  0.744243045750890E+00  0.134364708640451E-01  0.100000000000000E+01  0.100000000000000E-03 -0.177435757069680E+01  0.000000000000000E+00
 0.344589234875833E+00  0.711729311331123E+00  0.140502854677958E-01  0.100000000000000E+01  0.100000000000000E-03 -0.188754394063614E+01  0.000000000000000E+00
 0.368929276855512E+00  0.678863849662668E+00  0.147304941999328E-01  0.100000000000000E+01  0.100000000000000E-03 -0.199650466524708E+01  0.000000000000000E+00
 0.393212881058577E+00  0.645909111579790E+00  0.154820543954576E-01  0.100000000000000E+01  0.100000000000000E-03 -0.210121437333162E+01  0.000000000000000E+00
 0.417436332646670E+00  0.613104441898360E+00  0.163104347589408E-01  0.100000000000000E+01  0.100000000000000E-03 -0.220168016286014E+01  0.000000000000000E+00
 0.441595925983412E+00  0.580664380822626E+00  0.172216521802715E-01  0.100000000000000E+01  0.100000000000000E-03 -0.229793839896453E+01  0.000000000000000E+00
